회사명,종목코드,상장일
신영스팩10호,472220,2024-02-06
폰드그룹,472850,2024-02-02
IBKS제24호스팩,469480,2024-02-01
레이저옵텍,199550,2024-02-01
이닉스,452400,2024-02-01
엘앤에프,066970,2024-01-29
포스뱅크,105760,2024-01-29
현대힘스,460930,2024-01-26
HB인베스트먼트,440290,2024-01-25
드림인사이트,362990,2024-01-25
대신밸런스제17호스팩,471050,2024-01-24
우진엔텍,457550,2024-01-24
세븐브로이맥주,267080,2024-01-17
한빛레이저,452190,2024-01-04
포스코DX,022100,2024-01-02
DS단석,017860,2023-12-22
IBKS제23호스팩,467930,2023-12-22
하나30호스팩,469880,2023-12-22
씨싸이트,109670,2023-12-21
블루엠텍,439580,2023-12-13
LS머트리얼즈,417200,2023-12-12
케이엔에스,432470,2023-12-06
교보15호스팩,465320,2023-12-05
와이바이오로직스,338840,2023-12-05
삼성스팩9호,468510,2023-12-04
에이텀,355690,2023-12-01
엔에이치스팩30호,466910,2023-12-01
에이에스텍,453860,2023-11-28
그린리소스,402490,2023-11-24
제이엔비,452160,2023-11-24
한선엔지니어링,452280,2023-11-24
동인기연,111380,2023-11-21
에코아이,448280,2023-11-21
스톰테크,352090,2023-11-20
에코프로머티,450080,2023-11-17
캡스톤파트너스,452300,2023-11-15
프로젠,296160,2023-11-15
에스와이스틸텍,365330,2023-11-13
에이직랜드,445090,2023-11-13
한국제13호스팩,464440,2023-11-13
메가터치,446540,2023-11-09
비아이매트릭스,413640,2023-11-09
컨텍,451760,2023-11-09
큐로셀,372320,2023-11-09
쏘닉스,088280,2023-11-07
KB제27호스팩,464680,2023-11-03
세니젠,188260,2023-11-03
신시웨이,290560,2023-11-03
유진테크놀로지,240600,2023-11-02
유투바이오,221800,2023-11-02
퀄리타스반도체,432720,2023-10-27
미쥬,351020,2023-10-26
워트,396470,2023-10-26
에스엘에스바이오,246250,2023-10-20
신성에스티,416180,2023-10-19
퓨릿,445180,2023-10-18
바이오텐,289170,2023-10-13
에이치엠씨제6호스팩,462020,2023-10-13
아이엠티,451220,2023-10-10
레뷰코퍼레이션,443250,2023-10-06
두산로보틱스,454910,2023-10-05
신한제11호스팩,452980,2023-10-04
한싹,430690,2023-10-04
KT밀리의서재,418470,2023-09-27
인스웨이브,450520,2023-09-25
우듬지팜,403490,2023-09-19
코어라인소프트,384470,2023-09-18
STX그린로지스,465770,2023-09-15
상상인제4호스팩,452670,2023-09-14
율촌,146060,2023-09-08
한화플러스제4호스팩,455310,2023-09-07
대신밸런스제16호스팩,457630,2023-09-04
유안타제11호스팩,444920,2023-09-01
크라우드웍스,355390,2023-08-31
한국제12호스팩,458610,2023-08-30
시큐레터,418250,2023-08-24
스마트레이더시스템,424960,2023-08-22
넥스틸,092790,2023-08-21
캔버스엔,210120,2023-08-17
SK증권제10호스팩,457940,2023-08-11
코츠테크놀로지,448710,2023-08-10
큐리옥스바이오시스템즈,445680,2023-08-10
하나28호스팩,454750,2023-08-10
NICE평가정보,030190,2023-08-08
파두,440110,2023-08-07
엠아이큐브솔루션,373170,2023-08-04
시지트로닉스,429270,2023-08-03
에피바이오텍,446440,2023-07-31
조선내화,462520,2023-07-28
에이엘티,172670,2023-07-27
유안타제14호스팩,450940,2023-07-27
파로스아이바이오,388870,2023-07-27
길교이앤씨,456700,2023-07-26
버넥트,438700,2023-07-26
뷰티스킨,406820,2023-07-24
SK증권제9호스팩,455910,2023-07-21
와이랩,432430,2023-07-20
센서뷰,321370,2023-07-19
아이엠지티,456570,2023-07-19
필에너지,378340,2023-07-14
교보14호스팩,456490,2023-07-06
이노시뮬레이션,274400,2023-07-06
알멕,354320,2023-06-30
오픈놀,440320,2023-06-30
아이티센피엔에스,232830,2023-06-29
하나29호스팩,454640,2023-06-28
KB제25호스팩,455250,2023-06-23
엔에이치스팩29호,451700,2023-06-23
하이제8호스팩,450050,2023-06-22
가이아코퍼레이션,296520,2023-06-20
비에이치,090460,2023-06-20
동국씨엠,460850,2023-06-16
동국제강,460860,2023-06-16
프로티아,303360,2023-06-16
큐라티스,348080,2023-06-15
마녀공장,439090,2023-06-08
나라셀라,405920,2023-06-02
진영,285800,2023-06-01
이수스페셜티케미컬,457190,2023-05-31
OCI,456040,2023-05-30
기가비스,420770,2023-05-24
팸텍,271830,2023-05-23
모니터랩,434480,2023-05-19
시선AI,340810,2023-05-19
큐라켐,456190,2023-05-18
키움제8호스팩,446840,2023-05-17
트루엔,417790,2023-05-17
삼미금속,012210,2023-05-16
에스바이오메딕스,304360,2023-05-04
슈어소프트테크,298830,2023-04-28
토마토시스템,393210,2023-04-27
마이크로투나노,424980,2023-04-26
셀바이오휴먼텍,318160,2023-04-20
SK오션플랜트,100090,2023-04-19
삼성FN리츠,448730,2023-04-10
현대그린푸드,453340,2023-04-10
미래에셋비전스팩3호,448830,2023-04-07
IBKS제22호스팩,448760,2023-04-06
하나27호스팩,448370,2023-04-06
한화갤러리아,452260,2023-03-31
지아이이노베이션,358570,2023-03-30
LB인베스트먼트,309960,2023-03-29
한화리츠,451800,2023-03-27
유안타제12호스팩,446150,2023-03-17
엑스게이트,356680,2023-03-16
미래에셋드림스팩1호,442900,2023-03-15
금양그린파워,282720,2023-03-13
라온텍,418420,2023-03-09
자람테크놀로지,389020,2023-03-07
하나26호스팩,446750,2023-03-07
나노팀,417010,2023-03-03
바이오인프라,199730,2023-03-02
삼성스팩8호,448740,2023-03-02
유안타제13호스팩,449020,2023-02-28
미래에셋비전스팩2호,446190,2023-02-24
이노진,344860,2023-02-20
화인써키트,127980,2023-02-17
제이오,418550,2023-02-16
샌즈랩,411080,2023-02-15
꿈비,407400,2023-02-09
스튜디오미르,408900,2023-02-07
삼기에너지솔루션즈,419050,2023-02-03
코오롱모빌리티그룹,450140,2023-01-31
오브젠,417860,2023-01-30
미래반도체,254490,2023-01-27
지슨,289860,2023-01-26
태양3C,052960,2023-01-26
티이엠씨,425040,2023-01-19
한주라이트메탈,198940,2023-01-19
옵티코어,380540,2022-12-29
아이오바이오,447690,2022-12-28
타이드,346010,2022-12-28
신영스팩9호,445970,2022-12-27
신스틸,162300,2022-12-23
지에프씨생명과학,388610,2022-12-23
바이오노트,377740,2022-12-22
비엔케이제1호스팩,445360,2022-12-22
마이크로엔엑스,448780,2022-12-21
애니메디솔루션,390110,2022-12-21
IBKS제21호스팩,442770,2022-12-16
엔에이치스팩27호,440820,2022-12-16
핑거스토리,417180,2022-12-08
SAMG엔터,419530,2022-12-06
대신밸런스제14호스팩,442310,2022-12-05
엔에이치스팩26호,439410,2022-12-01
유진스팩9호,442130,2022-12-01
아하,102950,2022-11-30
인터로이드,311960,2022-11-29
유니드비티플러스,446070,2022-11-28
펨트론,168360,2022-11-24
인벤티지랩,389470,2022-11-22
엔젯,419080,2022-11-18
유비온,084440,2022-11-18
티쓰리,204610,2022-11-17
티에프이,425420,2022-11-17
윤성에프앤씨,372170,2022-11-14
디티앤씨알오,383930,2022-11-11
뉴로메카,348340,2022-11-04
제이아이테크,417500,2022-11-04
LX세미콘,108320,2022-11-03
엔에이치스팩25호,438580,2022-11-03
교보13호스팩,440790,2022-11-02
큐알티,405100,2022-11-02
IBKS제20호스팩,439730,2022-10-28
저스템,417840,2022-10-28
산돌,419120,2022-10-27
삼성스팩7호,439250,2022-10-26
탈로스,434190,2022-10-24
플라즈맵,405000,2022-10-21
핀텔,291810,2022-10-20
샤페론,378800,2022-10-19
비스토스,419540,2022-10-18
탑머티리얼,360070,2022-10-18
에스비비테크,389500,2022-10-17
오에스피,368970,2022-10-14
모델솔루션,417970,2022-10-07
이노룰스,296640,2022-10-07
파인엠텍,441270,2022-10-07
KB스타리츠,432320,2022-10-06
선바이오,067370,2022-10-05
더블유씨피,393890,2022-09-30
알피바이오,314140,2022-09-29
티엘엔지니어링,413300,2022-09-27
오픈엣지테크놀로지,394280,2022-09-26
신영스팩8호,430220,2022-08-26
대성하이텍,129920,2022-08-22
쏘카,403550,2022-08-22
에이치와이티씨,148930,2022-08-09
새빗켐,107600,2022-08-04
수산인더스트리,126720,2022-08-01
아이씨에이치,368600,2022-07-29
성일하이텍,365340,2022-07-28
에이프릴바이오,397030,2022-07-28
퓨쳐메디신,341170,2022-07-27
벨로크,424760,2022-07-22
루닛,328130,2022-07-21
바스칸바이오제약,354390,2022-07-20
HPSP,403870,2022-07-15
와이씨켐,112290,2022-07-14
코난테크놀로지,402030,2022-07-07
넥스트칩,396270,2022-07-01
레이저쎌,412350,2022-06-24
보로노이,310210,2022-06-24
위니아에이드,377460,2022-06-23
비큐AI,148780,2022-06-20
범한퓨얼셀,382900,2022-06-17
코나솔,176590,2022-06-15
청담글로벌,362320,2022-06-03
마스턴프리미어리츠,357430,2022-05-31
가온칩스,399720,2022-05-20
대명에너지,389260,2022-05-16
포바이포,389140,2022-04-28
지투파워,388050,2022-04-01
씨피시스템,413630,2022-03-31
코람코더원리츠,417310,2022-03-28
세아메카닉스,396300,2022-03-24
공구우먼,366030,2022-03-23
유일로보틱스,388720,2022-03-18
모아데이타,288980,2022-03-10
메쎄이상,408920,2022-03-07
노을,376930,2022-03-03
비씨엔씨,146320,2022-03-03
풍원정밀,371950,2022-02-28
스톤브릿지벤처스,330730,2022-02-25
브이씨,365900,2022-02-24
퓨런티어,370090,2022-02-23
바이오에프디엔씨,251120,2022-02-21
인카금융서비스,211050,2022-02-16
나래나노텍,137080,2022-02-08
아셈스,136410,2022-02-07
스코넥,276040,2022-02-04
이지트로닉스,377330,2022-02-04
LG에너지솔루션,373220,2022-01-27
애드바이오텍,179530,2022-01-24
케이옥션,102370,2022-01-24
코스텍시스템,169670,2022-01-21
오토앤,353590,2022-01-20
아티스트스튜디오,200350,2021-12-30
라피치,403360,2021-12-14
제이엠멀티,254160,2021-12-13
신한서부티엔디리츠,404990,2021-12-10
툴젠,199800,2021-12-10
미래에셋글로벌리츠,396690,2021-12-03
켈스,402420,2021-11-30
SK스퀘어,402340,2021-11-29
마음AI,377480,2021-11-23
알비더블유,361570,2021-11-22
NH올원리츠,400760,2021-11-18
NPX,222160,2021-11-18
트윔,290090,2021-11-17
아이티아이즈,372800,2021-11-11
지오엘리먼트,311320,2021-11-11
SKAI,357880,2021-11-10
디어유,376300,2021-11-10
지니너스,389030,2021-11-08
카카오페이,377300,2021-11-03
피코그램,376180,2021-11-03
엔켐,348370,2021-11-01
리파인,377450,2021-10-29
지앤비에스 에코,382800,2021-10-29
아이패밀리에스씨,114840,2021-10-28
차백신연구소,261780,2021-10-22
지아이텍,382480,2021-10-21
코닉오토메이션,391710,2021-10-15
케이카,381970,2021-10-13
씨유테크,376290,2021-10-08
아스플로,159010,2021-10-07
원준,382840,2021-10-07
실리콘투,257720,2021-09-29
에스앤디,260970,2021-09-29
프롬바이오,377220,2021-09-28
바이오플러스,099430,2021-09-27
HD현대중공업,329180,2021-09-17
SK리츠,395400,2021-09-14
와이엠텍,273640,2021-09-10
에이비온,203400,2021-09-08
라이콤,388790,2021-09-03
일진하이솔루스,271940,2021-09-01
디앤디플랫폼리츠,377190,2021-08-27
바이젠셀,308080,2021-08-25
아주스틸,139990,2021-08-20
롯데렌탈,089860,2021-08-19
브레인즈컴퍼니,099390,2021-08-19
딥노이드,315640,2021-08-17
한컴라이프케어,372910,2021-08-17
엠로,058970,2021-08-13
플래티어,367000,2021-08-12
원티드랩,376980,2021-08-11
크래프톤,259960,2021-08-10
HK이노엔,195940,2021-08-09
PI첨단소재,178920,2021-08-09
카카오뱅크,323410,2021-08-06
에브리봇,270660,2021-07-28
비트맥스,377030,2021-07-27
큐라클,365270,2021-07-22
에스디바이오센서,137310,2021-07-16
오비고,352910,2021-07-13
엠씨넥스,097520,2021-07-06
아모센스,357580,2021-06-25
타임기술,318660,2021-06-24
이노뎁,303530,2021-06-18
라온테크,232680,2021-06-17
이성씨엔아이,379390,2021-06-04
현대ADM,187660,2021-06-03
에코프로에이치엔,383310,2021-05-28
LX홀딩스,383800,2021-05-27
진시스템,363250,2021-05-26
한울앤제주,276730,2021-05-26
F&F,383220,2021-05-21
삼영에스앤씨,361670,2021-05-21
샘씨엔에스,252990,2021-05-20
씨앤씨인터내셔널,352480,2021-05-17
에이치피오,357230,2021-05-14
SK아이이테크놀로지,361610,2021-05-11
쿠콘,294570,2021-04-28
이삭엔지니어링,351330,2021-04-21
해성에어로보틱스,059270,2021-04-21
엔시스,333620,2021-04-01
자이언트스텝,289220,2021-03-24
제노코,361390,2021-03-24
스피어,347700,2021-03-23
SK바이오사이언스,302440,2021-03-18
바이오다인,314930,2021-03-17
네오이뮨텍,950220,2021-03-16
화승알앤에이,378850,2021-03-15
싸이버원,356890,2021-03-11
프레스티지바이오로직스,334970,2021-03-11
나노씨엠에스,247660,2021-03-09
뷰노,338220,2021-02-26
엑스플러스,373200,2021-02-26
유일에너테크,340930,2021-02-25
씨이랩,189330,2021-02-24
오로스테크놀로지,322310,2021-02-24
피엔에이치테크,239890,2021-02-16
모비데이즈,363260,2021-02-10
아이퀘스트,262840,2021-02-05
프레스티지바이오파마,950210,2021-02-05
레인보우로보틱스,277810,2021-02-03
아티스트컴퍼니,321820,2021-02-03
솔루엠,248070,2021-02-02
핑거,163730,2021-01-29
모비릭스,348030,2021-01-28
씨앤투스,352700,2021-01-28
선진뷰티사이언스,086710,2021-01-27
DL이앤씨,375500,2021-01-25
엔비티,236810,2021-01-21
파이버프로,368770,2021-01-21
나우코스,257990,2020-12-30
루트락,253610,2020-12-24
ESR켄달스퀘어리츠,365550,2020-12-23
블리츠웨이엔터테인먼트,369370,2020-12-23
석경에이티,357550,2020-12-23
지놈앤컴퍼니,314130,2020-12-23
프리시젼바이오,335810,2020-12-22
알체라,347860,2020-12-21
하이딥,365590,2020-12-21
에프앤가이드,064850,2020-12-17
티엘비,356860,2020-12-14
인바이오,352940,2020-12-11
엔젠바이오,354200,2020-12-10
퀀타매트릭스,317690,2020-12-09
명신산업,009900,2020-12-07
셀레스트라,352770,2020-12-04
포인트모바일,318020,2020-12-03
앱코,129890,2020-12-02
엔에프씨,265740,2020-12-02
제일일렉트릭,199820,2020-11-26
하나기술,299030,2020-11-25
에이플러스에셋,244920,2020-11-20
티앤엘,340570,2020-11-20
고바이오랩,348150,2020-11-18
네패스아크,330860,2020-11-17
교촌에프앤비,339770,2020-11-12
소룩스,290690,2020-11-06
위드텍,348350,2020-10-30
센코,347000,2020-10-29
바이브컴퍼니,301300,2020-10-28
원포유,122830,2020-10-23
더바이오메드,214610,2020-10-22
피플바이오,304840,2020-10-19
하이브,352820,2020-10-15
넥스틴,348210,2020-10-08
케이엔솔,053080,2020-09-24
비나텍,126340,2020-09-23
씨엔알리서치,359090,2020-09-23
박셀바이오,323990,2020-09-22
티와이홀딩스,363280,2020-09-22
비비씨,318410,2020-09-21
코스텍시스,355150,2020-09-18
핌스,347770,2020-09-18
압타머사이언스,291650,2020-09-16
이오플로우,294090,2020-09-14
카카오게임즈,293490,2020-09-10
피엔케이피부임상연구센타,347740,2020-09-09
코람코라이프인프라리츠,357120,2020-08-31
아이디피,332370,2020-08-24
셀레믹스,331920,2020-08-21
고스트스튜디오,950190,2020-08-18
젝시믹스,337930,2020-08-13
영림원소프트랩,060850,2020-08-12
한국파마,032300,2020-08-10
제이알글로벌리츠,348950,2020-08-07
솔브레인,357780,2020-08-06
미래에셋맵스리츠,357250,2020-08-05
이지스레지던스리츠,350520,2020-08-05
PS일렉트로닉스,332570,2020-07-31
에코앤드림,101360,2020-07-30
엠투아이,347890,2020-07-29
더네이쳐홀딩스,298540,2020-07-27
제놀루션,225220,2020-07-24
솔트룩스,304100,2020-07-23
바이오인프라생명과학,266470,2020-07-22
티에스아이,277880,2020-07-22
에이프로,262260,2020-07-16
이지스밸류플러스리츠,334890,2020-07-16
소마젠,950200,2020-07-13
신도기연,290520,2020-07-06
위더스제약,330350,2020-07-03
에스케이바이오팜,326030,2020-07-02
엠브레인,169330,2020-07-01
젠큐릭스,229000,2020-06-25
무진메디,322970,2020-06-24
HB솔루션,297890,2020-06-22
넥사다이내믹스,351320,2020-06-22
에스씨엠생명과학,298060,2020-06-17
휴럼,353190,2020-06-17
이지바이오,353810,2020-06-05
드림씨아이에스,223250,2020-05-22
대덕전자,353200,2020-05-21
HLB사이언스,343090,2020-04-24
엔피디,198080,2020-03-16
플레이디,237820,2020-03-12
서울바이오시스,092190,2020-03-06
제이앤티씨,204270,2020-03-04
켄코아에어로스페이스,274090,2020-03-03
레몬,294140,2020-02-28
서남,294630,2020-02-20
위세아이텍,065370,2020-02-10
케이씨씨글라스,344820,2020-01-21
세림B&G,340440,2019-12-27
이앤에치,341310,2019-12-27
CJ 바이오사이언스,311690,2019-12-26
엔에스엠,238170,2019-12-26
한국첨단소재,062970,2019-12-26
RF머트리얼즈,327260,2019-12-24
아이비김영,339950,2019-12-24
브릿지바이오,288330,2019-12-20
다보링크,340360,2019-12-19
메드팩토,235980,2019-12-19
원텍,336570,2019-12-19
신테카바이오,226330,2019-12-17
제이엘케이,322510,2019-12-11
태웅로직스,124560,2019-12-10
윙스풋,335870,2019-12-09
노드메이슨,317860,2019-12-06
리메드,302550,2019-12-06
NH프라임리츠,338100,2019-12-05
비올,335890,2019-12-03
타스컴,336040,2019-12-02
진코스텍,250030,2019-11-29
웨이버스,336060,2019-11-28
유엑스엔,337840,2019-11-28
HLB바이오스텝,278650,2019-11-27
씨티알모빌리티,308170,2019-11-25
티움바이오,321550,2019-11-22
씨에스베어링,297090,2019-11-21
우양,103840,2019-11-20
코리아에셋투자증권,190650,2019-11-20
HD현대에너지솔루션,322000,2019-11-19
에스제이그룹,306040,2019-11-18
제테마,216080,2019-11-14
한화시스템,272210,2019-11-13
라파스,214260,2019-11-11
아이티엠반도체,084850,2019-11-07
일승,333430,2019-11-06
자이에스앤디,317400,2019-11-06
미디어젠,279600,2019-11-05
LS티라유텍,322180,2019-10-31
모코엠시스,333050,2019-10-31
롯데리츠,330590,2019-10-30
지누스,013890,2019-10-30
밸로프,331520,2019-10-29
캐리소프트,317530,2019-10-29
한국미라클피플사,331660,2019-10-28
케이엔제이,272110,2019-10-25
엔바이오니아,317870,2019-10-24
팜스빌,318010,2019-10-22
두산퓨얼셀,336260,2019-10-18
라온피플,300120,2019-10-18
솔루스첨단소재,336370,2019-10-18
콘텐트리중앙,036420,2019-10-18
아톤,158430,2019-10-17
녹십자웰빙,234690,2019-10-14
누보,332290,2019-10-11
포커스에이아이,331380,2019-10-02
엔지브이아이,093510,2019-09-30
올리패스,244460,2019-09-20
라닉스,317120,2019-09-18
한울반도체,320000,2019-09-18
한독크린텍,256150,2019-09-05
아퓨어스,149300,2019-09-03
네오크레마,311390,2019-08-22
마니커에프앤지,195500,2019-08-20
솔트웨어,328380,2019-08-20
나노실리칸첨단소재,286750,2019-08-19
에스피시스템스,317830,2019-08-14
레이,228670,2019-08-08
그린플러스,186230,2019-08-07
코윈테크,282880,2019-08-05
덕산테코피아,317330,2019-08-02
KBG,318000,2019-08-01
엑스페릭스,317770,2019-08-01
세경하이테크,148150,2019-07-30
캐리,313760,2019-07-25
대모,317850,2019-07-24
에이스토리,241840,2019-07-19
플리토,300080,2019-07-17
헥토파이낸셜,234340,2019-07-12
아이스크림에듀,289010,2019-07-11
펨토바이오메드,327610,2019-07-10
펌텍코리아,251970,2019-07-04
에이에프더블류,312610,2019-07-01
태성,323280,2019-06-24
엠에프엠코리아,323230,2019-06-19
압타바이오,293780,2019-06-12
형지글로벌,308100,2019-06-10
마이크로디지탈,305090,2019-06-05
코퍼스코리아,322780,2019-05-31
프로이천,321260,2019-05-31
포스코퓨처엠,003670,2019-05-29
수젠텍,253840,2019-05-28
컴퍼니케이,307930,2019-05-23
피에스케이,319660,2019-05-10
현대무벡스,319400,2019-05-08
TS트릴리온,317240,2019-04-29
이노벡스,279060,2019-04-12
아모그린텍,125210,2019-03-29
현대오토에버,307950,2019-03-28
지노믹트리,228760,2019-03-27
이지케어텍,099750,2019-03-22
미래에셋벤처투자,100790,2019-03-15
드림텍,192650,2019-03-14
더블유게임즈,192080,2019-03-12
에코프로비엠,247540,2019-03-05
셀리드,299660,2019-02-20
우리금융지주,316140,2019-02-13
천보,278280,2019-02-11
SCL사이언스,246960,2019-02-01
노랑풍선,104620,2019-01-30
웹케시,053580,2019-01-25
엘에이티,311060,2018-12-28
에어부산,298690,2018-12-27
비피도,238200,2018-12-26
유틸렉스,263050,2018-12-24
디케이티,290550,2018-12-21
아이엘,307180,2018-12-21
애니플러스,310200,2018-12-21
테크엔,308700,2018-12-21
디와이씨,310870,2018-12-20
오하임앤컴퍼니,309930,2018-12-20
위지윅스튜디오,299900,2018-12-20
국전약품,307750,2018-12-19
에이비엘바이오,298380,2018-12-19
머큐리,100590,2018-12-14
전진바이오팜,110020,2018-12-14
뉴트리,270870,2018-12-13
비투엔,307870,2018-12-12
이노메트리,302430,2018-12-12
DH오토리드,290120,2018-12-07
에코캡,128540,2018-12-05
원바이오젠,307280,2018-12-05
윙입푸드,900340,2018-11-30
남화산업,111710,2018-11-29
엠아이텍,179290,2018-11-29
티로보틱스,117730,2018-11-29
네오펙트,290660,2018-11-28
에이펙스인텍,207490,2018-11-28
티앤알바이오팹,246710,2018-11-28
나라소프트,288490,2018-11-23
아시아나IDT,267850,2018-11-23
디알젬,263690,2018-11-22
싸이토젠,217330,2018-11-22
아주IB투자,027360,2018-11-21
파멥신,208340,2018-11-21
디케이앤디,263020,2018-11-20
